,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
124,Port Elizabeth,1,US,1558563418,43,39.31,-74.98,77.0,6.93
125,Shitanjing,99,CN,1558563441,15,39.23,106.34,72.0,3.0
126,Hami,0,CN,1558563842,13,42.84,93.51,76.19,13.4
127,Tocopilla,0,CL,1558563466,85,-22.09,-70.2,63.59,19.86
128,Bethel,40,US,1558563410,66,60.79,-161.76,57.2,14.99
129,Guanica,90,PR,1558563809,83,17.97,-66.91,82.99,10.29
130,Okakarara,87,NA,1558563842,22,-20.59,17.46,63.59,3.96
131,Vaini,58,IN,1558563385,91,15.34,74.49,77.63,0.74
132,Elizabeth City,1,US,1558563649,40,36.3,-76.22,73.99,11.41
133,Broome,0,GB,1558563843,76,52.47,1.45,57.99,9.17
134,Yellowknife,20,CA,1558563389,27,62.45,-114.38,51.01,8.05
135,Lompoc,75,US,1558563250,59,34.64,-120.46,70.0,16.11
136,Tromso,40,NO,1558563590,69,69.65,18.96,39.99,14.99
137,Beringovskiy,0,RU,1558563479,79,63.05,179.32,35.87,2.95
138,Pevek,0,RU,1558563406,83,69.7,170.27,24.89,4.14
139,Geraldton,90,CA,1558563417,93,49.72,-86.95,46.4,9.17
140,Scarborough,0,GB,1558563844,76,54.28,-0.41,55.0,4.7
141,Hukuntsi,0,BW,1558563844,21,-23.98,21.76,64.67,8.5
142,Ulladulla,0,AU,1558563845,100,-35.36,150.48,61.0,8.05
143,Faanui,78,PF,1558563417,74,-16.48,-151.75,82.13,8.25
144,Abu Kamal,88,SY,1558563845,22,34.45,40.92,88.07,17.56
145,Ahome,5,MX,1558563601,51,25.92,-109.18,84.0,14.99
146,Zaysan,88,KZ,1558563432,76,47.47,84.87,42.53,8.43
147,Yeppoon,75,AU,1558563418,77,-23.13,150.74,66.2,10.29
148,Muyuka,40,CM,1558563846,100,4.29,9.41,78.8,2.95
149,Alpena,1,US,1558563631,58,45.06,-83.43,66.99,12.75
150,Giyani,0,ZA,1558563846,62,-23.32,30.73,63.77,2.62
151,Dobson,90,US,1558563332,69,36.4,-80.72,79.0,4.7
152,Vikhorevka,100,RU,1558563846,77,56.12,101.17,39.2,1.97
153,Ilulissat,5,GL,1558563490,74,69.22,-51.1,37.4,8.05
154,Genhe,16,CN,1558563846,51,50.78,121.52,44.87,3.0
155,Cape Town,0,ZA,1558563404,93,-33.93,18.42,60.01,4.7
156,Severo-Kurilsk,100,RU,1558563210,94,50.68,156.12,40.75,32.7
157,Necochea,0,AR,1558563847,40,-38.55,-58.74,48.99,3.0
158,Prince Rupert,90,CA,1558563847,81,54.32,-130.32,53.6,9.17
159,Georgetown,75,GY,1558563402,74,6.8,-58.16,84.2,13.87
160,Pitimbu,40,BR,1558563847,88,-7.47,-34.81,78.8,4.7
161,Longyearbyen,0,NO,1558563174,74,78.22,15.63,25.81,6.29
162,Marzuq,100,YE,1558563425,42,14.4,46.47,77.99,4.94
163,Praia,0,BR,1558563848,77,-20.25,-43.81,71.6,3.36
164,Salaga,100,GH,1558563848,44,8.55,-0.52,90.95,5.59
165,Grand Gaube,75,MU,1558563480,83,-20.01,57.66,75.2,6.93
166,Richards Bay,0,ZA,1558563849,76,-28.77,32.06,71.87,19.66
167,Mana,40,RS,1558563849,100,43.52,20.24,57.2,3.36
168,Arraial do Cabo,0,BR,1558563411,88,-22.97,-42.02,75.2,3.36
169,San Vicente,75,SV,1558563850,79,13.64,-88.78,84.2,8.05
170,Martinopolis,0,BR,1558563585,34,-22.15,-51.17,80.6,1.79
171,Miedzyrzecz,90,PL,1558563850,100,52.44,15.58,51.8,9.17
172,Sangar,100,RU,1558563851,58,63.92,127.47,49.91,4.12
173,Hithadhoo,100,MV,1558563231,73,-0.6,73.08,83.95,12.33
174,Tournon-sur-Rhone,20,FR,1558563851,54,45.07,4.83,59.0,4.7
175,Mitchell,90,US,1558563851,81,43.71,-98.03,53.6,8.05
176,Puerto El Triunfo,40,SV,1558563852,74,13.27,-88.55,87.8,3.36
177,Luziania,40,BR,1558563852,61,-16.25,-47.95,77.0,5.82
178,Lavrentiya,99,RU,1558563852,91,65.58,-170.99,31.37,4.41
179,Maumere,100,ID,1558563852,78,-8.63,122.22,80.51,8.14
180,Le Port,1,FR,1558563853,44,42.87,1.37,57.99,4.68
181,Dharan,14,NP,1558563853,84,26.81,87.28,65.57,4.29
182,Norman Wells,75,CA,1558563465,48,65.28,-126.83,60.8,8.05
183,San Patricio,72,PY,1558563436,90,-26.98,-56.83,64.13,6.42
184,Lasa,20,CY,1558563424,52,34.92,32.53,71.6,2.24
185,Mbengwi,99,CM,1558563853,86,6.0,10.01,63.23,4.07
186,Tuatapere,5,NZ,1558563389,82,-46.13,167.69,53.01,1.01
187,Chokurdakh,100,RU,1558563413,85,70.62,147.9,25.43,21.0
188,Natal,20,BR,1558563300,74,-5.81,-35.21,82.4,5.82
189,Nuuk,20,GL,1558563854,61,64.17,-51.74,48.2,6.93
190,Ahuimanu,20,US,1558563854,62,21.44,-157.84,86.0,11.41
191,Saint-Philippe,1,CA,1558563403,37,45.36,-73.48,68.0,5.82
192,Vestmannaeyjar,2,IS,1558563190,85,63.44,-20.27,48.49,5.46
193,Dikson,83,RU,1558563399,82,73.51,80.55,22.91,7.31
194,Marystown,69,CA,1558563855,69,47.17,-55.16,44.15,20.49
195,Carnarvon,0,ZA,1558563389,24,-30.97,22.13,50.99,2.55
196,Chas,0,IN,1558563855,30,23.63,86.18,88.07,1.57
197,Yar-Sale,71,RU,1558563438,87,66.83,70.83,19.31,4.29
198,Zhangye,100,CN,1558563855,36,38.94,100.46,62.69,8.08
199,Itarema,100,BR,1558563514,87,-2.92,-39.92,78.35,5.44
200,Nouadhibou,0,MR,1558563855,77,20.93,-17.03,66.2,17.22
201,Cabo San Lucas,5,MX,1558563166,44,22.89,-109.91,86.0,10.29
202,Junction City,1,US,1558563856,49,39.03,-96.83,72.0,10.29
203,Sitka,74,US,1558563452,50,37.17,-99.65,71.01,4.0
204,Guamuchil,0,MX,1558563856,49,25.47,-108.1,88.0,4.0
205,Constitucion,75,MX,1558563410,2,23.99,-104.67,86.0,21.92
206,Honningsvag,75,NO,1558563857,74,70.98,25.97,33.8,12.75
207,San Andres,100,PH,1558563857,88,13.32,122.68,79.07,2.3
208,Kungurtug,100,RU,1558563461,76,50.6,97.53,47.39,5.73
209,Vao,100,EE,1558563495,79,59.1,26.19,57.47,1.92
210,Mweka,100,CD,1558563442,91,-4.85,21.56,74.03,2.89
211,Dicabisagan,59,PH,1558563857,87,17.08,122.42,75.47,2.73
212,Luan,0,CH,1558563858,62,46.36,6.98,57.99,5.66
213,Hasaki,75,JP,1558563362,72,35.73,140.83,63.0,3.36
214,San Quintin,56,PH,1558563301,82,17.54,120.52,77.29,3.42
215,Oum Hadjer,77,TD,1558563858,5,13.3,19.7,96.17,7.49
216,Dagana,0,MR,1558563858,50,16.52,-15.51,76.73,16.2
217,Luwuk,100,ID,1558563388,99,-0.95,122.79,66.11,3.27
218,Hirara,75,JP,1558563706,83,24.8,125.28,71.6,2.24
219,Balikpapan,100,ID,1558563859,98,-1.24,116.86,71.69,2.17
220,Kaitangata,1,NZ,1558563400,65,-46.28,169.85,55.0,5.99
221,Amalapuram,9,IN,1558563462,89,16.58,82.0,82.49,6.2
222,Fagersta,92,SE,1558563859,87,60.0,15.79,60.8,5.82
223,Berlevag,75,NO,1558563860,69,70.86,29.09,35.6,13.87
224,Tortoli,5,IT,1558563860,59,39.93,9.66,60.8,13.87
225,Ekhabi,96,RU,1558563860,96,53.51,142.97,38.57,5.37
226,Katsuura,0,JP,1558563860,63,33.93,134.5,70.0,6.93
227,Avera,1,US,1558563860,34,33.19,-82.53,95.0,9.17
228,Yerbogachen,95,RU,1558563861,77,61.28,108.01,41.81,8.75
229,Colares,20,PT,1558563861,87,38.8,-9.45,64.4,13.87
230,Meulaboh,98,ID,1558563508,86,4.14,96.13,80.33,10.38
231,Andros Town,40,BS,1558563444,65,24.73,-77.79,82.4,12.75
232,Acapulco,75,MX,1558563460,70,16.86,-99.88,84.2,10.29
233,Port Lincoln,0,AU,1558563462,77,-34.72,135.86,62.51,5.32
234,Kavieng,0,PG,1558563247,77,-2.57,150.8,82.69,5.7
235,Urengoy,100,RU,1558563862,89,65.96,78.37,24.71,8.55
236,Omboue,45,GA,1558563429,84,-1.57,9.26,80.15,13.22
237,Sumkino,81,RU,1558563862,61,58.11,68.32,37.49,4.74
238,Borger,100,NL,1558563862,75,52.92,6.79,52.0,1.12
239,Cidreira,11,BR,1558563390,82,-30.17,-50.22,67.37,11.5
240,Tazovskiy,53,RU,1558563514,93,67.47,78.7,19.85,10.74
241,Barentu,75,ER,1558563863,28,15.11,37.59,88.61,6.58
242,Souillac,0,FR,1558563863,63,45.6,-0.6,62.6,3.36
243,Byron Bay,90,AU,1558563863,82,-28.65,153.62,71.01,5.82
244,Matara,1,PE,1558563466,30,-13.74,-72.9,56.93,9.91
245,Zeya,84,RU,1558563490,74,53.74,127.27,43.25,2.39
246,Dondo,0,MZ,1558563864,88,-19.62,34.74,71.6,2.24
247,San Ignacio,0,CL,1558563864,62,-36.8,-72.03,55.0,2.24
248,Luderitz,100,NA,1558563400,71,-26.65,15.16,57.2,12.75
249,Sivaki,7,RU,1558563438,74,52.63,126.75,45.95,4.83
250,Kupang,51,ID,1558563865,75,-10.16,123.6,80.87,15.64
251,Gamba,33,CN,1558563504,60,28.28,88.52,34.61,5.17
252,Saldanha,47,PT,1558563865,62,41.42,-6.55,63.59,6.31
253,Vostok,61,RU,1558563393,95,46.45,135.83,45.41,4.85
254,Shar,39,NG,1558563865,44,7.3,8.73,87.17,4.41
255,Miramar,40,CR,1558563865,78,10.09,-84.73,73.4,3.36
256,Nantucket,1,US,1558563428,44,41.28,-70.1,62.01,10.29
257,Okha,96,RU,1558563435,96,53.59,142.95,38.57,5.37
258,Kananga,100,CD,1558563866,88,-5.9,22.41,71.69,2.13
259,Bambous Virieux,75,MU,1558563433,83,-20.34,57.76,75.2,6.93
260,Tavricheskoye,75,RU,1558563866,75,54.59,73.64,41.0,6.71
261,Abu Samrah,52,SY,1558563867,27,35.3,37.18,78.35,10.56
262,Bilibino,21,RU,1558563867,88,68.06,166.44,24.53,3.96
263,Pisco,20,PE,1558563387,30,-13.71,-76.2,71.6,6.93
264,Puerto Colombia,75,CO,1558563867,74,10.99,-74.96,86.0,11.41
265,Airai,59,TL,1558563417,60,-8.93,125.41,74.21,7.74
266,Grindavik,0,IS,1558563867,87,63.84,-22.43,50.0,8.05
267,Lata,98,IN,1558563388,74,30.78,78.62,31.19,8.79
268,Labuhan,96,ID,1558563259,85,-2.54,115.51,75.67,2.24
269,Jonuta,20,MX,1558563868,37,18.08,-92.13,100.4,11.41
270,San Isidro,100,PH,1558563869,86,16.74,121.63,75.65,1.63
271,Golden,40,CA,1558563869,33,51.3,-116.96,69.8,3.36
272,The Valley,40,AI,1558563461,74,18.22,-63.06,82.4,8.05
273,Viedma,2,AR,1558563870,27,-40.81,-62.99,57.47,12.46
274,Miraflores,81,CO,1558563870,95,5.2,-73.14,60.71,3.76
275,Manica,0,MZ,1558563870,87,-18.94,32.88,60.8,3.65
276,Quatre Cocos,75,MU,1558563871,83,-20.21,57.76,75.2,6.93
277,Behbahan,0,IR,1558563711,35,30.59,50.24,71.6,5.35
278,Alyangula,79,AU,1558563462,100,-13.85,136.42,66.2,3.36
279,Talnakh,75,RU,1558563397,92,69.49,88.39,19.4,11.18
280,Shingu,0,JP,1558563871,62,33.72,135.99,50.81,3.44
281,Vung Tau,100,VN,1558563871,82,10.35,107.08,81.59,4.32
282,Adre,75,TD,1558563871,4,13.47,22.2,86.09,9.71
283,jatara,45,IN,1558563872,18,25.01,79.05,98.33,6.15
284,Shouguang,0,CN,1558563872,19,36.88,118.73,72.05,6.69
285,Never,82,RU,1558563872,74,53.98,124.16,45.05,3.6
286,Powell River,20,CA,1558563872,33,49.84,-124.52,79.0,4.7
287,Nadterechnoye,18,RU,1558563873,100,43.62,45.34,55.4,4.47
288,Axim,100,GH,1558563873,86,4.87,-2.24,79.97,4.72
289,Boende,100,CD,1558563873,97,-0.28,20.88,72.95,3.76
290,Jilin,1,CN,1558563873,63,43.84,126.54,50.99,3.87
291,Liuhe,62,CN,1558563873,42,42.28,125.73,54.95,9.84
292,Muroto,0,JP,1558563476,54,33.37,134.14,58.73,5.77
293,Dali,0,CN,1558563874,78,25.6,100.24,53.69,2.84
294,Chicama,20,PE,1558563875,83,-7.84,-79.15,69.8,9.17
295,Jojoima,78,SL,1558563875,95,7.88,-10.79,76.73,3.91
296,Jan Kempdorp,100,ZA,1558563875,31,-27.92,24.84,61.79,3.91
297,Baldone,0,LV,1558563875,93,56.74,24.39,63.0,1.12
298,Piterka,100,RU,1558563875,60,50.68,47.44,58.91,7.7
299,Narsaq,93,GL,1558563433,26,60.91,-46.05,57.2,29.97
300,Maniitsoq,0,GL,1558563458,50,65.42,-52.9,49.73,9.04
301,Saint-Joseph,90,FR,1558563876,88,43.56,6.97,62.6,2.24
302,Lisala,100,CD,1558563876,94,2.15,21.52,73.31,5.46
303,Rome,0,IT,1558563671,87,41.89,12.48,60.01,4.7
304,Babstovo,1,RU,1558563438,84,48.12,132.48,47.03,7.43
305,Port Moresby,90,PG,1558563877,94,-9.47,147.16,77.0,3.36
306,San Miguel,40,AR,1558563495,77,-34.54,-58.72,60.8,7.2
307,Lampa,0,CL,1558563877,30,-33.29,-70.87,59.0,6.93
308,Broken Hill,90,AU,1558563877,59,-31.97,141.45,62.6,6.93
309,Plettenberg Bay,0,ZA,1558563506,70,-34.05,23.37,53.87,3.2
310,Palmer,0,AU,1558563430,93,-34.85,139.16,61.0,6.93
311,Tecoanapa,75,MX,1558563439,70,16.99,-99.26,84.2,10.29
312,Los Andes,0,CL,1558563878,30,-32.83,-70.6,64.99,6.93
313,Port Blair,100,IN,1558563399,71,11.67,92.75,85.19,7.02
314,Teguise,40,ES,1558563442,72,29.06,-13.56,68.0,17.22
315,Poum,0,MK,1558563508,89,41.28,20.71,44.69,3.15
316,Nioro,0,GM,1558563879,20,13.79,-15.05,93.11,15.77
317,Uwajima,0,JP,1558563879,42,33.22,132.57,64.4,8.05
318,Harindanga,75,IN,1558563879,88,22.04,88.32,77.0,9.17
319,Sierpc,1,PL,1558563879,86,52.85,19.67,56.21,2.01
320,Grand-Bourg,90,GP,1558563879,74,15.88,-61.31,80.6,11.41
321,Balrampur,0,IN,1558563880,34,27.43,82.19,88.61,7.76
322,El Alto,75,BO,1558563880,29,-16.5,-68.19,51.8,10.29
323,Ola,100,RU,1558563881,90,59.58,151.3,38.75,12.95
324,Rawson,9,AR,1558563452,23,-43.3,-65.11,58.73,13.62
325,Rio Cuarto,0,AR,1558563881,93,-33.13,-64.35,44.6,4.34
326,Sterling,75,US,1558563882,46,39.0,-77.4,73.0,9.17
327,College,75,US,1558563882,42,64.86,-147.8,68.0,5.82
328,Wilmington,1,US,1558563613,35,39.75,-75.55,75.0,6.93
329,Burnie,50,AU,1558563435,92,-41.05,145.91,46.99,1.99
330,Purpe,95,RU,1558563882,86,64.48,76.69,25.0,1.01
331,Maniwaki,100,CA,1558563589,31,46.38,-75.98,65.57,4.99
332,Terney,20,RU,1558563883,86,45.05,136.61,47.93,5.21
333,Portland,40,US,1558563390,49,45.52,-122.67,75.0,4.7
334,Ponta Delgada,20,PT,1558563883,72,37.73,-25.67,62.6,5.82
335,Manokwari,80,ID,1558563883,84,-0.87,134.08,73.31,2.42
336,San Rafael del Sur,40,NI,1558563883,88,11.85,-86.44,80.6,11.41
337,Bonthe,98,SL,1558563414,85,7.53,-12.5,82.13,7.25
338,Buritizeiro,1,BR,1558563884,65,-17.37,-44.96,76.37,1.48
339,Santa Cruz,20,US,1558563885,52,36.97,-122.03,73.0,11.41
340,Anzio,0,IT,1558563885,87,41.45,12.63,60.01,4.7
341,Jumla,0,NP,1558563464,56,29.28,82.18,44.51,5.26
342,Oerlinghausen,0,DE,1558563885,76,51.96,8.66,54.0,3.36
343,Merauke,100,ID,1558563886,82,-8.49,140.4,81.05,21.79
344,Williston,20,US,1558563771,33,48.15,-103.62,66.99,13.87
345,Isangel,40,VU,1558563886,73,-19.55,169.27,77.0,11.41
346,Kita,75,JP,1558563886,55,35.76,139.74,71.01,12.75
347,Rio Grande,75,BR,1558563886,82,-32.03,-52.1,64.4,6.93
348,Yangambi,100,CD,1558563887,88,0.77,24.47,73.85,3.69
349,Nazas,12,MX,1558563887,6,25.22,-104.11,89.87,12.57
350,Prince George,20,CA,1558563610,37,53.92,-122.75,70.0,9.17
351,Qaqortoq,93,GL,1558563448,26,60.72,-46.03,57.2,29.97
352,Birao,61,CF,1558563887,27,10.3,22.78,90.95,3.71
353,Goma,100,CD,1558563888,96,-1.67,29.23,58.55,2.64
354,Vila Velha,0,BR,1558563463,83,-3.71,-38.6,81.0,6.93
355,Beyneu,77,KZ,1558563888,23,45.32,55.19,65.93,7.34
356,Plaridel,97,PH,1558563888,81,13.96,122.02,82.31,2.42
357,Marietta,40,US,1558563682,38,33.95,-84.55,91.99,11.41
358,Buena Vista,40,US,1558563889,24,38.84,-106.13,55.4,19.46
359,Flinders,0,AU,1558563889,100,-34.58,150.85,61.0,8.05
360,Guia de Isora,20,ES,1558563889,60,28.21,-16.78,69.8,13.87
361,Caravelas,8,BR,1558563464,79,-17.73,-39.27,77.27,5.68
362,Antalaha,84,MG,1558563890,99,-14.9,50.28,66.29,2.19
363,Kefamenanu,31,ID,1558563890,81,-9.45,124.48,70.25,6.08
364,Cosolapa,78,MX,1558563890,30,18.6,-96.68,82.31,8.88
365,Lagos,20,NG,1558563791,88,6.46,3.39,78.8,2.24
366,Kurkino,100,RU,1558563890,87,53.42,38.66,58.91,5.1
367,Kumta,100,IN,1558563891,79,14.42,74.4,84.11,6.4
368,Aklavik,40,CA,1558563122,39,68.22,-135.01,64.4,9.17
369,Westport,100,IE,1558563435,82,53.8,-9.52,54.0,4.14
370,Mangrol,100,IN,1558563891,21,25.33,76.51,97.79,1.72
371,Kununurra,0,AU,1558563891,40,-15.77,128.74,73.4,3.36
372,Seddon,0,NZ,1558563891,79,-41.67,174.07,54.0,5.17
373,Gouyave,20,GD,1558563892,74,12.16,-61.73,84.2,17.22
374,Paris,0,FR,1558563817,54,48.86,2.35,63.0,3.36
375,Vegueta,76,PE,1558563892,91,-11.02,-77.64,65.03,18.03
